ts_ms,received_ts_ms,window_slug,outcome,tick_type,price,size,side,best_bid,best_ask,timestamp
1774230701725,1774230701800,btc-updown-15m-1774230300,Up,trade,0.23,27.78,,0.22,0.23,2026-03-23 01:51:41.725
1774230702189,1774230702260,btc-updown-15m-1774230300,Up,book,,,,0.22,0.23,2026-03-23 01:51:42.189
1774230702203,1774230702275,btc-updown-15m-1774230300,Up,book,,,,0.2,0.23,2026-03-23 01:51:42.203
1774230702224,1774230702316,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:42.224
1774230702231,1774230702332,btc-updown-15m-1774230300,Up,trade,0.23,34.782607,,0.2,0.21,2026-03-23 01:51:42.231
1774230703715,1774230703788,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:43.715
1774230703734,1774230703805,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:43.734
1774230703935,1774230704006,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:43.935
1774230703959,1774230704029,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:43.959
1774230703962,1774230704032,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:43.962
1774230703966,1774230704037,btc-updown-15m-1774230300,Up,trade,0.21,5.047618,,0.2,0.21,2026-03-23 01:51:43.966
1774230703988,1774230704058,btc-updown-15m-1774230300,Up,trade,0.21,11.90476,,0.2,0.21,2026-03-23 01:51:43.988
1774230704104,1774230704175,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:44.104
1774230704133,1774230704204,btc-updown-15m-1774230300,Up,trade,0.21,5.0,,0.2,0.21,2026-03-23 01:51:44.133
1774230704835,1774230704907,btc-updown-15m-1774230300,Up,book,,,,0.19,0.2,2026-03-23 01:51:44.835
1774230704844,1774230704944,btc-updown-15m-1774230300,Up,book,,,,0.19,0.2,2026-03-23 01:51:44.844
1774230704871,1774230704950,btc-updown-15m-1774230300,Up,trade,0.2,5.25,,0.19,0.2,2026-03-23 01:51:44.871
1774230704983,1774230705056,btc-updown-15m-1774230300,Up,book,,,,0.18,0.2,2026-03-23 01:51:44.983
1774230705203,1774230705274,btc-updown-15m-1774230300,Up,book,,,,0.19,0.2,2026-03-23 01:51:45.203
1774230705420,1774230705512,btc-updown-15m-1774230300,Up,book,,,,0.18,0.19,2026-03-23 01:51:45.420
1774230705447,1774230705556,btc-updown-15m-1774230300,Up,book,,,,0.18,0.19,2026-03-23 01:51:45.447
1774230705483,1774230705562,btc-updown-15m-1774230300,Up,trade,0.19,5.789472,,0.18,0.19,2026-03-23 01:51:45.483
1774230705604,1774230705678,btc-updown-15m-1774230300,Up,book,,,,0.18,0.19,2026-03-23 01:51:45.604
1774230705629,1774230705699,btc-updown-15m-1774230300,Up,book,,,,0.18,0.19,2026-03-23 01:51:45.629
1774230705636,1774230705705,btc-updown-15m-1774230300,Up,trade,0.18,0.44,,0.18,0.19,2026-03-23 01:51:45.636
1774230705679,1774230705751,btc-updown-15m-1774230300,Up,book,,,,0.18,0.19,2026-03-23 01:51:45.679
1774230705713,1774230705785,btc-updown-15m-1774230300,Up,book,,,,0.18,0.19,2026-03-23 01:51:45.713
1774230705745,1774230705815,btc-updown-15m-1774230300,Up,trade,0.19,26.31,,0.18,0.19,2026-03-23 01:51:45.745
1774230705816,1774230705886,btc-updown-15m-1774230300,Up,book,,,,0.18,0.19,2026-03-23 01:51:45.816
1774230705850,1774230705921,btc-updown-15m-1774230300,Up,trade,0.19,13.157893,,0.18,0.19,2026-03-23 01:51:45.850
1774230705954,1774230706024,btc-updown-15m-1774230300,Up,book,,,,0.18,0.19,2026-03-23 01:51:45.954
1774230706823,1774230706895,btc-updown-15m-1774230300,Up,book,,,,0.18,0.19,2026-03-23 01:51:46.823
1774230706831,1774230706906,btc-updown-15m-1774230300,Up,book,,,,0.17,0.19,2026-03-23 01:51:46.831
1774230706836,1774230706908,btc-updown-15m-1774230300,Up,book,,,,0.17,0.19,2026-03-23 01:51:46.836
1774230706841,1774230706919,btc-updown-15m-1774230300,Up,book,,,,0.16,0.19,2026-03-23 01:51:46.841
1774230707157,1774230707236,btc-updown-15m-1774230300,Up,book,,,,0.16,0.17,2026-03-23 01:51:47.157
1774230707286,1774230707356,btc-updown-15m-1774230300,Up,book,,,,0.16,0.17,2026-03-23 01:51:47.286
1774230707301,1774230707378,btc-updown-15m-1774230300,Up,trade,0.16,4.76,,0.16,0.17,2026-03-23 01:51:47.301
1774230707460,1774230707533,btc-updown-15m-1774230300,Up,book,,,,0.16,0.17,2026-03-23 01:51:47.460
1774230707500,1774230707569,btc-updown-15m-1774230300,Up,trade,0.17,29.41,,0.16,0.17,2026-03-23 01:51:47.500
1774230707851,1774230707922,btc-updown-15m-1774230300,Up,book,,,,0.16,0.17,2026-03-23 01:51:47.851
1774230707884,1774230707956,btc-updown-15m-1774230300,Up,trade,0.16,6.17,,0.16,0.17,2026-03-23 01:51:47.884
1774230708236,1774230708308,btc-updown-15m-1774230300,Up,book,,,,0.16,0.18,2026-03-23 01:51:48.236
1774230708266,1774230708340,btc-updown-15m-1774230300,Up,trade,0.17,15.0,,0.16,0.18,2026-03-23 01:51:48.266
1774230708545,1774230708623,btc-updown-15m-1774230300,Up,book,,,,0.18,0.19,2026-03-23 01:51:48.545
1774230708553,1774230708631,btc-updown-15m-1774230300,Up,book,,,,0.18,0.19,2026-03-23 01:51:48.553
1774230708567,1774230708697,btc-updown-15m-1774230300,Up,trade,0.18,4.8,,0.18,0.19,2026-03-23 01:51:48.567
1774230708585,1774230708713,btc-updown-15m-1774230300,Up,trade,0.18,6.68,,0.18,0.19,2026-03-23 01:51:48.585
1774230708623,1774230708727,btc-updown-15m-1774230300,Up,book,,,,0.18,0.2,2026-03-23 01:51:48.623
1774230708661,1774230708740,btc-updown-15m-1774230300,Up,trade,0.2,88.0,,0.18,0.2,2026-03-23 01:51:48.661
1774230708727,1774230708811,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:48.727
1774230708779,1774230708876,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:48.779
1774230708786,1774230708879,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:48.786
1774230708817,1774230708888,btc-updown-15m-1774230300,Up,trade,0.21,33.0,,0.2,0.21,2026-03-23 01:51:48.817
1774230708870,1774230708942,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:48.870
1774230709762,1774230709833,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:49.762
1774230709944,1774230710016,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:49.944
1774230709971,1774230710040,btc-updown-15m-1774230300,Up,trade,0.21,14.285713,,0.2,0.21,2026-03-23 01:51:49.971
1774230710034,1774230710106,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:50.034
1774230710071,1774230710141,btc-updown-15m-1774230300,Up,trade,0.21,23.809522,,0.2,0.21,2026-03-23 01:51:50.071
1774230710941,1774230711012,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:50.941
1774230710992,1774230711063,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:50.992
1774230711767,1774230711837,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:51.767
1774230711947,1774230712018,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:51.947
1774230713083,1774230713154,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:53.083
1774230714195,1774230714268,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:54.195
1774230715251,1774230715323,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:55.251
1774230715280,1774230715358,btc-updown-15m-1774230300,Up,trade,0.21,5.0,,0.2,0.21,2026-03-23 01:51:55.280
1774230715407,1774230715479,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:55.407
1774230715442,1774230715512,btc-updown-15m-1774230300,Up,trade,0.2,4.69,,0.2,0.21,2026-03-23 01:51:55.442
1774230715605,1774230715676,btc-updown-15m-1774230300,Up,book,,,,0.2,0.22,2026-03-23 01:51:55.605
1774230715643,1774230715714,btc-updown-15m-1774230300,Up,trade,0.22,88.0,,0.2,0.22,2026-03-23 01:51:55.643
1774230715646,1774230715717,btc-updown-15m-1774230300,Up,book,,,,0.21,0.22,2026-03-23 01:51:55.646
1774230715703,1774230715774,btc-updown-15m-1774230300,Up,book,,,,0.21,0.22,2026-03-23 01:51:55.703
1774230716224,1774230716296,btc-updown-15m-1774230300,Up,book,,,,0.21,0.22,2026-03-23 01:51:56.224
1774230716262,1774230716332,btc-updown-15m-1774230300,Up,trade,0.21,1.37,,0.21,0.22,2026-03-23 01:51:56.262
1774230716271,1774230716342,btc-updown-15m-1774230300,Up,book,,,,0.21,0.22,2026-03-23 01:51:56.271
1774230718248,1774230718320,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:58.248
1774230718736,1774230718807,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:58.736
1774230718764,1774230718841,btc-updown-15m-1774230300,Up,trade,0.21,5.0,,0.2,0.21,2026-03-23 01:51:58.764
1774230719207,1774230719277,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:59.207
1774230719680,1774230719751,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:59.680
